id,exp,sol
AR3338B,5,0
AR3347A,0,0
AR3353C,4,3
AR3354C,0,0
AR3358A,5,2
AR3361B,2,2
AR3365B,5,3
AR3367B,0,0
AR3369B,5,0
AR3374B,5,2
AR3380C,3,3
AR3382E,5,2
AR3387A,5,0
AR3395A,2,1
AR3433A,5,5
AR3436A,5,5
AR3437A,5,5
AR3442A,0,0
AR3442B,5,5
AR3445A,5,5
AR3447A,1,0
AR3449A,5,5
ASR100,5,5
ASR101,0,0
ASR115A,0,0
ASR115B,0,0
ASR115,5,5
ASR13,0,0
ASR155,4,3
ASR1,5,5
ASR21,0,0
ASR36,5,0
ASR68,4,0
ASR69,3,0
ASR71,0,0
ASR72,5,5
ASR73,5,5
ASR77,0,0
ASR80,0,0
ASR81,0,0
ASR82,5,5
ASR83,4,3
ASR84,0,0
ASR86,4,5
ASR87,0,0
ASR89,0,0
ASR8,5,5
ASR92,0,0
ASR95,5,3
ASR97,0,0
ASR99,0,0
ATR100,3,3
ATR101,3,4
ATR103,4,0
ATR104,2,2
ATR105,1,1
ATR106,0,0
ATR107,0,0
ATR109,4,0
ATR10,5,2
ATR110,0,0
ATR111,4,4
ATR112,4,2
ATR113,0,0
ATR114,4,3
ATR115,4,5
ATR116,3,3
ATR118,3,2
ATR120,4,4
ATR121,4,5
ATR122,4,5
ATR123,3,3
ATR124,5,5
ATR125,4,3
ATR126,0,0
ATR127,5,5
ATR128,5,3
ATR129,5,4
ATR12,5,5
ATR130,4,4
ATR131,3,0
ATR132,4,4
ATR133,0,0
ATR134,5,0
ATR135,5,5
ATR136,3,3
ATR137,0,0
ATR138,0,0
ATR139,4,4
ATR13,0,0
ATR140,0,0
ATR14,5,2
ATR15,0,0
ATR166,5,5
ATR167,5,5
ATR168,5,5
ATR169,5,0
ATR170,5,0
ATR173,4,4
ATR175,5,5
ATR176,5,5
ATR177,5,0
ATR179,5,5
ATR17,5,5
ATR180,0,0
ATR182,0,0
ATR183,3,5
ATR184,5,0
ATR186,5,5
ATR187,5,4
ATR188,2,3
ATR189,0,0
ATR18,5,0
ATR190,3,3
ATR191,5,5
ATR192,0,0
ATR193,3,3
ATR194,0,0
ATR195,5,5
ATR196,5,3
ATR197,5,0
ATR198,5,2
ATR19,5,5
ATR1,5,3
ATR200A,0,0
ATR201,0,0
ATR203,4,0
ATR204,0,0
ATR205,5,5
ATR207,5,5
ATR209,0,0
ATR20,3,3
ATR21,3,0
ATR223,5,5
ATR224,4,5
ATR225,5,2
ATR227,5,0
ATR229,5,0
ATR22,5,3
ATR230,4,4
ATR231,5,2
ATR232,5,0
ATR233,4,4
ATR234,5,0
ATR236,4,0
ATR238,5,5
ATR239,4,3
ATR23,5,4
ATR240,5,0
ATR242,4,3
ATR245,4,0
ATR246,5,5
ATR247,0,0
ATR248,3,2
ATR249,5,3
ATR24,5,2
ATR250,0,0
ATR251,5,0
ATR252,5,0
ATR253,5,0
ATR254,5,5
ATR255,5,5
ATR256,0,0
ATR257,4,3
ATR258,5,0
ATR25,5,2
ATR260,5,2
ATR261,5,0
ATR263,5,0
ATR266,2,3
ATR267,2,5
ATR269,4,3
ATR26,3,3
ATR270,0,0
ATR271,5,5
ATR272,5,3
ATR277A,5,2
ATR277,5,4
ATR27,0,0
ATR28,5,4
ATR296,4,3
ATR29,5,3
ATR2,0,0
ATR307A,0,0
ATR307,2,5
ATR309,4,5
ATR30,0,0
ATR310A,3,5
ATR310,5,1
ATR31,5,3
ATR32,5,3
ATR33,5,4
ATR34,3,5
ATR35,5,3
ATR36,5,3
ATR38,0,0
ATR39,4,5
ATR3,0,0
ATR40,5,3
ATR41,4,0
ATR42,5,0
ATR43,5,5
ATR44,5,0
ATR45,3,5
ATR46,0,0
ATR47,5,5
ATR4,5,3
ATR50,5,3
ATR51,5,5
ATR52,5,4
ATR53,5,2
ATR54,5,0
ATR55,5,5
ATR56,5,5
ATR57,5,5
ATR59,5,4
ATR5,3,5
ATR60,5,5
ATR61,2,3
ATR62,5,5
ATR63,3,3
ATR64,4,3
ATR65,3,5
ATR66,3,5
ATR67,2,0
ATR68,3,5
ATR69,0,0
ATR70,4,2
ATR71,4,3
ATR72,3,3
ATR73,4,4
ATR74,3,3
ATR75,3,3
ATR76,5,5
ATR77,5,5
ATR78,5,5
ATR79,4,3
ATR7,0,0
ATR80,3,3
ATR81,3,3
ATR82,3,2
ATR83,3,3
ATR84,3,3
ATR85,0,0
ATR86,0,0
ATR87A,4,3
ATR87,0,0
ATR88,4,4
ATR89,4,3
ATR8,5,3
ATR90,0,0
ATR91,4,1
ATR92,4,4
ATR93,3,2
ATR94,4,3
ATR95,2,1
ATR96,0,0
ATR97,1,1
ATR98,0,0
ATR99,4,0
ATR9,3,0
BBR15,3,0
BBR26,4,5
BBR27A,5,1
BBR27B,5,4
BBR27C,5,1
BBR28,5,3
BBR29A,0,0
BBR29B,0,0
BBR29,4,3
BBR32,5,0
BBR3,5,0
BBR5,5,5
BBR6,5,5
BBR7,5,5
BBR8,5,0
BBR9,4,5
BCR100,4,2
BCR101,4,3
BCR102,5,3
BCR103A,5,5
BCR103,3,2
BCR104,4,4
BCR105,0,0
BCR106,0,0
BCR107,0,0
BCR108,4,4
BCR109,3,1
BCR10,5,3
BCR110,4,3
BCR111,5,2
BCR112,0,0
BCR113,3,3
BCR114,4,4
BCR115,4,2
BCR116,2,1
BCR117,5,5
BCR118,5,4
BCR119,0,0
BCR11,5,5
BCR120,0,0
BCR121,5,5
BCR122,4,5
BCR123,5,5
BCR124,2,2
BCR125,2,2
BCR126,2,2
BCR127,4,4
BCR128,3,3
BCR129,5,5
BCR12,5,0
BCR130,4,4
BCR131,5,3
BCR132,4,2
BCR133,3,4
BCR134,5,3
BCR135,4,5
BCR136,5,5
BCR137,5,5
BCR138,2,2
BCR139,0,0
BCR13,5,5
BCR148,5,3
BCR149,5,5
BCR14,5,5
BCR150,4,4
BCR151,4,3
BCR152,3,2
BCR155,4,4
BCR156,4,4
BCR157,4,2
BCR158,5,4
BCR162,0,0
BCR163,3,3
BCR165,5,4
BCR166,5,1
BCR167,5,4
BCR168,3,5
BCR169,5,5
BCR16,5,2
BCR170,4,4
BCR171,4,4
BCR173,5,5
BCR175,5,4
BCR176,4,4
BCR177,5,5
BCR178,0,0
BCR17,0,0
BCR180,4,4
BCR184,2,2
BCR189A,0,0
BCR189B,3,0
BCR189,3,2
BCR18,5,5
BCR190A,2,0
BCR190B,3,5
BCR190C,3,5
BCR190D,0,0
BCR190E,2,0
BCR190F,2,0
BCR191A,5,5
BCR191B,5,5
BCR191C,5,3
BCR191,4,4
BCR192A,4,0
BCR192B,4,0
BCR192C,5,1
BCR192D,5,0
BCR192,5,3
BCR193A,5,0
BCR193B,5,0
BCR193C,5,0
BCR193,0,0
BCR194A,5,0
BCR194B,5,0
BCR194C,5,0
BCR194D,5,0
BCR194,3,3
BCR195A,3,0
BCR195B,4,0
BCR195,0,0
BCR196A,5,5
BCR196,5,5
BCR197,0,0
BCR198,0,0
BCR199,2,0
BCR19,5,5
BCR1,1,5
BCR201,5,3
BCR202,5,0
BCR203,0,0
BCR206,0,0
BCR207,4,3
BCR208,0,0
BCR20,5,5
BCR210,5,5
BCR211,5,4
BCR212,4,2
BCR213,5,5
BCR215,5,5
BCR21,5,5
BCR222,3,5
BCR223,5,5
BCR227,5,5
BCR22,1,0
BCR242A,4,4
BCR246,5,5
BCR248,5,5
BCR24,5,2
BCR253,3,5
BCR25,3,3
BCR26,3,5
BCR29,5,5
BCR2,5,5
BCR30,5,5
BCR31,5,3
BCR32,0,0
BCR33,5,0
BCR34,5,2
BCR35,0,0
BCR36,5,5
BCR37,0,0
BCR38,5,5
BCR39,5,5
BCR3,5,5
BCR41,5,2
BCR42,2,4
BCR44,5,5
BCR47,3,5
BCR49,5,0
BCR4,5,0
BCR50,5,5
BCR51,5,5
BCR53,5,5
BCR54,5,5
BCR56,5,5
BCR59,3,5
BCR5,0,0
BCR60,5,3
BCR61,3,5
BCR63,5,5
BCR64,5,5
BCR65,0,0
BCR66,5,5
BCR67,5,5
BCR68,5,5
BCR69,5,3
BCR6,5,5
BCR71,0,0
BCR72,0,0
BCR73,5,5
BCR74,5,5
BCR75,2,1
BCR76,5,5
BCR77,5,3
BCR7,5,3
BCR86,0,0
BCR87,0,0
BCR88,3,3
BCR89,3,3
BCR90,3,3
BCR91,3,3
BCR92,2,0
BCR93,0,0
BCR94,3,2
BCR95,2,0
BCR96,3,3
BCR97A,5,5
BCR97,3,3
BCR98,3,3
BCR99,4,2
BER102,5,2
BER107,4,4
BER108,4,3
BER109,3,3
BER113A,0,0
BER113,3,3
BER114,4,4
BER115,4,2
BER118,0,0
BER119,5,3
BER11,0,0
BER120,3,2
BER121,4,2
BER123,0,0
BER124,5,4
BER125,0,0
BER126,3,2
BER127,0,0
BER12,5,3
BER132,5,5
BER133,2,5
BER135,5,1
BER136,5,3
BER13,5,5
BER141,5,2
BER145,2,5
BER146,0,0
BER147,5,4
BER148,5,2
BER149,2,5
BER150,2,5
BER151,2,5
BER152,3,5
BER153,5,2
BER154,5,3
BER155,4,5
BER156,0,0
BER15,0,0
BER16,5,4
BER17,5,5
BER18,0,0
BER19,5,3
BER1,5,1
BER20,5,5
BER21,5,5
BER23,5,4
BER25,0,0
BER28,5,0
BER29,5,1
BER30,0,0
BER31,5,3
BER33,5,0
BER34,4,4
BER35,5,5
BER36,5,0
BER39,5,3
BER3,5,5
BER40,5,5
BER42,0,0
BER43,5,5
BER44,5,1
BER46,0,0
BER49,5,5
BER50,0,0
BER51A,0,0
BER51,0,0
BER52,4,4
BER53,0,0
BER55,0,0
BER56,4,0
BER57,5,5
BER58,5,0
BER59,3,5
BER5,5,3
BER60,5,2
BER61,0,0
BER62,5,0
BER63,3,0
BER8,5,0
BFR100,0,0
BFR109,5,5
BFR10,0,0
BFR110,4,0
BFR111,0,0
BFR112,5,0
BFR114,5,5
BFR116,4,3
BFR118,0,0
BFR120,5,3
BFR121,0,0
BFR122,5,3
BFR123,4,5
BFR125,0,0
BFR126,4,5
BFR128,4,0
BFR129,0,0
BFR131,3,2
BFR132,5,5
BFR133,2,0
BFR134,5,5
BFR135,0,0
BFR136,4,0
BFR140,5,5
BFR141A,2,0
BFR141B,2,0
BFR141C,0,0
BFR141D,0,0
BFR141,0,0
BFR142A,0,0
BFR142B,0,0
BFR142C,0,0
BFR142D,0,0
BFR142E,5,0
BFR142F,2,0
BFR144,5,0
BFR146,5,3
BFR147,4,5
BFR148,2,2
BFR149,4,3
BFR150,3,2
BFR151,2,0
BFR152,3,5
BFR153,0,0
BFR154,0,0
BFR156,2,5
BFR158,2,5
BFR159,4,0
BFR15,0,0
BFR160,0,0
BFR161,1,0
BFR162,5,5
BFR163,0,0
BFR165,3,4
BFR169,2,5
BFR16,5,0
BFR170,2,5
BFR171,2,0
BFR172,1,0
BFR173,4,5
BFR174,2,5
BFR175,5,5
BFR177,5,5
BFR178,5,0
BFR179,3,0
BFR17,0,0
BFR180,1,1
BFR181,1,0
BFR182,2,0
BFR183,4,5
BFR184,3,2
BFR185,4,3
BFR187,4,2
BFR188,0,0
BFR189,1,3
BFR190,0,0
BFR191,0,0
BFR192,4,5
BFR193,4,5
BFR194,5,5
BFR195,5,2
BFR197,5,4
BFR198,5,1
BFR202,5,3
BFR204,5,5
BFR205,5,5
BFR206,5,2
BFR207,5,4
BFR208,4,3
BFR211,5,5
BFR212,5,5
BFR213,0,0
BFR216,4,1
BFR217,5,0
BFR218,5,5
BFR21,3,0
BFR22,0,0
BFR24,4,0
BFR25,4,4
BFR26,4,3
BFR2,0,0
BFR32,3,0
BFR33,4,3
BFR34,3,0
BFR35,5,4
